시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
서울,관악구,29.67,0.0,0.0,서울항,7.1,35249819.0,36888855,3771.0,37.4673,126.94538
서울,광진구,17.03,0.0,0.0,서울항,13.7,356228927.0,356561363,4535.0,37.54671,127.08573
서울,구로구,20.06,0.0,0.0,서울항,7.8,312868570.0,326023830,4167.8,37.49445,126.8565
서울,금천구,13.03,1.0,76.746,서울항,8.2,204552621.0,212059874,3641.7,37.46055,126.90085
서울,노원구,35.59,0.0,0.0,서울항,18.5,68419160.0,71330992,4372.5,37.65244,127.07504
서울,도봉구,20.69,0.0,0.0,서울항,17.8,50642245.0,54017679,3721.4,37.66912,127.0324
서울,동대문구,14.29,0.0,0.0,서울항,12.3,160810070.0,163506467,4293.4,37.58207,127.0549
서울,동작구,16.39,0.0,0.0,서울항,3.9,57928235.0,55544805,4855.5,37.49887,126.95177
서울,마포구,23.88,0.0,0.0,서울항,3.9,162171795.0,169664399,5626.2,37.55932,126.90829
서울,서대문구,17.68,0.0,0.0,서울항,5.3,31931623.0,32670770,4918.3,37.57782,126.93905
서울,서초구,46.91,1.0,21.317,서울항,10.8,423490350.0,430376917,8727.8,37.47327,127.03133
서울,성동구,16.81,0.0,0.0,서울항,9.9,878264821.0,885063961,5735.3,37.55101,127.04102
서울,성북구,24.55,0.0,0.0,서울항,11.3,97901768.0,101265089,4636.4,37.60572,127.01737
서울,송파구,33.83,2.0,59.119,서울항,16.4,213563867.0,214468670,6027.1,37.5056,127.11526
서울,양천구,17.28,0.0,0.0,서울항,6.8,41548565.0,45963541,5400.9,37.52479,126.85551
서울,영등포구,24.55,0.0,0.0,서울항,2.1,216900245.0,219241887,5268.1,37.52234,126.91012
서울,용산구,21.8,0.0,0.0,서울항,4.2,100170610.0,104308233,7926.9,37.5313,126.97987
서울,은평구,29.66,0.0,0.0,서울항,9.9,201782672.0,196730170,4119.7,37.61918,126.92703
서울,종로구,24.01,0.0,0.0,서울항,8.2,66968033.0,72416038,5653.0,37.59492,126.97731
서울,중구,10.04,0.0,0.0,서울항,6.5,203050813.0,215127489,5615.6,37.56009,126.99587
서울,중랑구,18.5,0.0,0.0,서울항,16.0,65465475.0,68715908,3670.3,37.59776,127.09289
세종,세종시,464.99,2.0,4.301,평택당진항,69.7,2135797891.0,2057190553,,36.5606,127.25876
울산,남구,73.36,1.0,13.631,울산항,8.8,13768565982.0,14164865271,5272.6,35.51546,129.32929
울산,동구,36.45,0.0,0.0,울산항,5.4,1107747592.0,1086121120,4702.9,35.52544,129.42619
울산,북구,158.05,0.0,0.0,울산항,15.0,1713409495.0,1789754491,5343.7,35.61012,129.37991
울산,울주군,757.31,10.0,13.205,울산항,21.9,10630726312.0,10377089047,4536.0,35.54617,129.18752
울산,중구,36.93,0.0,0.0,울산항,14.2,29916353.0,30018327,5013.2,35.5711,129.30823
인천,강화군,412.91,0.0,0.0,경인항,25.0,114657055.0,112246667,3677.4,37.71253,126.40227
인천,계양구,45.42,2.0,44.033,경인항,10.4,398309395.0,389045757,3529.6,37.55728,126.73464
인천,남동구,57.61,3.0,52.074,인천항,17.1,1977596702.0,2043350083,3764.1,37.43089,126.7265
인천,동구,7.27,0.0,0.0,인천항,7.9,2624513666.0,3187673412,3482.8,37.48332,126.63908
인천,미추홀구,24.97,2.0,80.096,인천항,12.0,392773287.0,407305051,,37.45254,126.66459
인천,부평구,32.08,0.0,0.0,경인항,11.9,676364229.0,691421183,3738.0,37.49659,126.7211
인천,서구,132.72,2.0,15.069,경인항,3.1,3707954698.0,3673968973,4126.3,37.55956,126.65171
인천,연수구,56.97,0.0,0.0,인천항,17.6,1468228456.0,1376908915,5243.7,37.39402,126.64819
인천,옹진군,184.09,0.0,0.0,인천항,82.3,61378058.0,66085866,4298.9,37.52268,125.66688
인천,중구,144.44,1.0,6.923,인천항,13.5,942452040.0,1006058338,3999.9,37.46858,126.48216
전남,강진군,501.43,1.0,1.994,목포항,42.6,66478363.0,68175375,3547.5,34.62031,126.77219
전남,고흥군,815.56,1.0,1.226,여수항,40.9,82977753.0,83347435,3318.1,34.59815,127.315
전남,곡성군,548.39,3.0,5.471,하동항,57.0,226994436.0,224104463,3710.3,35.2166,127.26355
전남,광양시,466.76,4.0,8.57,하동항,15.2,3078412348.0,3844963400,4916.5,35.01947,127.65593
전남,구례군,439.65,1.0,2.275,하동항,42.1,30637505.0,30545723,3526.2,35.23679,127.50312
전남,나주시,606.09,2.0,3.3,목포항,37.4,489064411.0,506581751,3907.6,34.98861,126.72043
전남,담양군,453.54,3.0,6.615,목포항,77.8,217563586.0,211894145,3814.5,35.29154,126.99527
전남,목포시,53.73,0.0,0.0,목포항,2.3,136488963.0,132390695,3585.4,34.80281,126.39047
전남,무안군,455.3,8.0,17.571,목포항,16.3,104058459.0,105666097,4269.3,34.95374,126.42521
전남,보성군,665.94,4.0,6.007,여수항,52.9,51862637.0,52323955,3450.8,34.81428,127.16257
전남,순천시,911.85,9.0,9.87,하동항,37.1,1050029616.0,1077068206,4425.2,34.99453,127.3894
전남,신안군,680.87,0.0,0.0,목포항,29.9,32266020.0,33120089,3788.3,34.80975,126.0423
전남,여수시,521.77,0.0,0.0,여수항,8.3,13610444737.0,13550544260,4662.8,34.69454,127.65245
전남,영광군,480.9,3.0,6.238,목포항,52.2,346504416.0,341679728,3986.7,35.27902,126.45031
전남,영암군,602.61,3.0,4.978,목포항,23.5,824015373.0,805998206,3348.9,34.79697,126.62619
전남,완도군,408.07,0.0,0.0,목포항,68.8,49883614.0,49210110,3423.8,34.29451,126.77847
전남,장성군,518.29,4.0,7.718,목포항,67.8,239935796.0,299331767,3732.1,35.32961,126.76861
전남,장흥군,622.72,2.0,3.212,목포항,52.8,72849852.0,73233686,3596.2,34.67528,126.922
전남,진도군,453.57,0.0,0.0,목포항,44.4,21382801.0,20972936,3575.5,34.43656,126.21102
전남,함평군,389.83,3.0,7.696,목포항,36.5,102078988.0,102681793,3408.0,35.11268,126.53548
전남,해남군,1048.19,0.0,0.0,목포항,31.2,102938199.0,93712671,3389.2,34.55857,126.51135
전남,화순군,788.26,0.0,0.0,목포항,64.2,131072810.0,128082563,3469.6,35.0082,127.03353
전북,고창군,612.11,3.0,4.901,군산항,60.5,112699900.0,114077864,3503.8,35.44906,126.61583
전북,군산시,411.33,2.0,4.862,군산항,4.2,4848219517.0,4636690739,3945.4,35.94881,126.71858
전북,김제시,544.48,5.0,9.183,군산항,24.9,529127226.0,546433192,3323.9,35.80686,126.89607
전북,남원시,750.29,8.0,10.663,하동항,62.3,182089013.0,187372898,3398.7,35.42251,127.44196
전북,무주군,629.66,2.0,3.176,군산항,88.7,33767026.0,33144467,3492.3,35.93936,127.71295
