시도,시군구,code,면적_km2,lat,lng,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km
경기,양주시,31260,310.41,37.80865,127.00116,2,6.443,서울항,31.5
경기,포천시,31270,825.12,37.96992,127.25045,0,0.0,서울항,56.3
경기,여주시,31280,607.22,37.30248,127.61566,4,6.587,서울항,65.5
경기,연천군,31350,696.06,38.09709,127.02394,0,0.0,서울항,63.5
경기,가평군,31370,840.5,37.81856,127.45018,1,1.19,서울항,55.7
경기,양평군,31380,876.43,37.51802,127.5792,4,4.564,서울항,57.1
강원,춘천시,32010,1114.75,37.88987,127.73997,4,3.588,서울항,81.5
강원,원주시,32020,866.52,37.30829,127.92952,6,6.924,서울항,91.5
강원,강릉시,32030,1039.36,37.70924,128.83243,4,3.849,옥계항,24.0
강원,동해시,32040,181.0,37.50689,129.05583,2,11.05,동해묵호항,7.7
강원,태백시,32050,303.24,37.17235,128.98011,0,0.0,호산항,32.8
강원,속초시,32060,105.58,38.17607,128.51963,2,18.943,속초항,8.2
강원,삼척시,32070,1187.29,37.27753,129.12203,2,1.685,삼척항,18.4
강원,홍천군,32310,1816.46,37.74487,128.07446,6,3.303,속초항,69.5
강원,횡성군,32320,997.51,37.50901,128.07713,6,6.015,옥계항,90.3
강원,영월군,32330,1126.54,37.20397,128.50014,0,0.0,삼척항,66.2
강원,평창군,32340,1463.14,37.55701,128.48276,8,5.468,옥계항,54.2
강원,정선군,32350,1218.25,37.3788,128.73903,0,0.0,동해묵호항,38.9
강원,철원군,32360,889.73,38.24378,127.41352,0,0.0,서울항,89.9
강원,화천군,32370,907.0,38.13843,127.68518,0,0.0,속초항,80.4
강원,양구군,32380,660.96,38.17812,128.00123,0,0.0,속초항,52.5
강원,인제군,32390,1639.86,38.06898,128.26332,1,0.61,속초항,33.6
강원,고성군,32400,660.36,38.37741,128.3998,0,0.0,속초항,25.3
강원,양양군,32410,630.27,38.00462,128.5953,6,9.52,속초항,23.2
충북,충주시,33020,981.39,37.01522,127.89555,5,5.095,평택당진항,102.0
충북,제천시,33030,882.0,37.06004,128.14086,2,2.268,삼척항,101.8
충북,청주시상당구,33041,403.02,36.59217,127.58498,1,2.481,평택당진항,89.3
충북,청주시서원구,33042,123.03,36.54761,127.43857,1,8.128,평택당진항,82.0
충북,청주시흥덕구,33043,198.7,36.64697,127.36921,3,15.098,평택당진항,70.2
충북,청주시청원구,33044,214.85,36.72057,127.49133,2,9.309,평택당진항,74.8
충북,보은군,33320,583.93,36.48996,127.72935,4,6.85,군산항,105.8
충북,옥천군,33330,541.47,36.32044,127.6566,2,3.694,군산항,91.3
충북,영동군,33340,852.51,36.15968,127.81428,2,2.346,군산항,99.5
충북,진천군,33350,408.03,36.87101,127.44044,2,4.902,평택당진항,64.2
충북,괴산군,33360,841.77,36.7697,127.82956,2,2.376,평택당진항,100.6
충북,음성군,33370,519.22,36.97625,127.6142,4,7.704,평택당진항,77.2
충북,단양군,33380,779.96,36.99451,128.38788,2,2.564,삼척항,86.2
충북,증평군,33390,81.66,36.78656,127.60461,0,0.0,평택당진항,81.1
충남,천안시동남구,34011,438.74,36.76409,127.22099,3,6.838,평택당진항,51.8
충남,천안시서북구,34012,197.95,36.89269,127.16172,1,5.052,평택당진항,40.1
충남,공주시,34020,864.1,36.4799,127.07505,4,4.629,보령항,52.7
충남,보령시,34030,583.8,36.33983,126.59052,3,5.139,보령항,15.7
충남,아산시,34040,543.17,36.80737,126.98005,2,3.682,평택당진항,32.7
충남,서산시,34050,742.51,36.78473,126.4632,2,2.694,대산항,24.7
충남,논산시,34060,553.96,36.19094,127.15776,2,3.61,군산항,44.8
충남,계룡시,34070,60.68,36.29168,127.23446,0,0.0,군산항,56.8
충남,당진시,34080,708.85,36.9045,126.65213,4,5.643,평택당진항,16.8
충남,금산군,34310,576.57,36.11902,127.47835,2,3.469,군산항,69.0
충남,부여군,34330,623.99,36.24638,126.85695,2,3.205,군산항,31.2
충남,서천군,34340,367.29,36.10679,126.70373,3,8.168,장항항,13.2
